# Accelerometer Data File
# Started @Fri Jul 20 17:04:29 GMT+08:00 2018
#
#
# sensor Vendor: STM
# sensor Name: K2HH Acceleration 
# sensor Resolution: 0.038307227m/sec^2; Max Range: 39.2266; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
-1.336 -1.812 2.951 9
-1.188 -1.862 2.615 11
-0.831 -1.48 1.999 9
-0.356 -0.95 1.046 11
0.004 -0.214 0.645 10
0.087 0.497 0.268 9
0.142 0.859 -0.122 11
0.194 1.073 -0.616 10
0.204 1.049 -0.926 10
0.233 1.062 -1.081 10
0.229 1.062 -1.321 11
0.267 1.111 -1.556 9
0.328 1.133 -1.523 10
0.264 1.05 -1.331 10
0.153 0.978 -0.878 10
0.055 0.78 -0.528 10
0.113 0.64 -0.292 9
0.245 0.592 -0.113 11
0.315 0.491 -0.028 10
0.37 0.307 -0.001 10
0.363 0.131 -0.132 10
0.348 -0.06 -0.155 10
0.103 -0.282 -0.004 10
-0.084 -0.424 0.155 10
-0.166 -0.514 0.077 10
-0.157 -0.476 -0.042 10
-0.099 -0.4 -0.078 10
-0.073 -0.338 -0.127 10
-0.031 -0.239 -0.177 10
-0.026 -0.195 -0.163 10
-0.098 -0.225 -0.108 10
-0.177 -0.181 0.06 9
-0.255 -0.077 0.52 12
-0.286 0.077 0.28 9
-0.27 0.228 0.195 10
-0.282 0.483 0.018 10
-0.323 0.669 -0.137 10
-0.302 0.762 -0.173 10
-0.316 0.853 -0.09 10
-0.322 0.857 0.056 10
-0.298 0.746 0.18 10
-0.217 0.398 0.111 12
-0.142 0.116 0.015 8
-0.051 -0.26 -0.057 10
-0.02 -0.529 -0.074 10
-0.008 -0.588 0.026 10
-0.039 -0.576 0.272 10
-0.066 -0.555 0.506 9
-0.096 -0.512 0.607 11
-0.065 -0.469 0.567 10
0.002 -0.42 0.383 9
0.067 -0.38 0.161 11
0.06 -0.311 0.013 10
-0.026 -0.132 -0.01 10
-0.091 0.022 -0.005 10
-0.175 0.203 -0.028 10
-0.23 0.333 -0.057 10
-0.154 0.439 -0.144 11
-0.079 0.408 -0.216 9
0.001 0.293 -0.251 10
0.029 0.124 -0.185 10
0.001 -0.018 -0.056 10
0.013 0.064 -0.269 10
0.044 0.234 -0.027 10
-0.085 0.109 -0.003 10
-0.081 0.079 0.059 10
0.0 0.133 -0.042 10
0.082 0.103 -0.155 10
0.085 -0.008 -0.046 10
0.07 -0.081 0.146 10
0.054 -0.092 0.279 9
0.061 -0.132 0.378 11
0.055 -0.208 0.39 10
0.058 -0.264 0.36 10
0.031 -0.274 0.342 10
0.007 -0.249 0.357 10
0.022 -0.184 0.277 10
0.064 -0.079 0.103 10
0.091 0.002 -0.005 9
0.095 0.022 -0.072 11
0.114 0.023 -0.179 10
0.124 0.009 -0.243 10
0.081 -0.07 -0.191 11
0.033 -0.092 -0.095 9
0.014 -0.074 0.016 10
0.032 -0.07 0.02 10
0.055 -0.065 -0.047 10
0.092 -0.095 -0.103 10
0.101 -0.111 -0.166 10
0.116 -0.089 -0.264 10
0.087 -0.024 -0.271 10
0.023 0.046 -0.242 9
-0.034 0.098 -0.182 11
-0.059 0.132 -0.141 10
-0.072 0.138 -0.138 10
-0.074 0.143 -0.133 10
-0.077 0.112 -0.097 11
-0.078 0.057 -0.056 9
-0.093 0.0 -0.013 10
-0.104 -0.035 0.018 10
-0.093 -0.055 0.094 10
-0.106 -0.051 0.136 10
-0.077 -0.003 0.103 10
-0.042 0.007 0.049 10
-0.014 -0.016 -0.022 10
0.004 -0.012 -0.065 10
0.022 0.047 -0.062 12
0.012 0.092 -0.024 8
0.003 0.157 0.027 9
-0.039 0.196 0.076 11
-0.081 0.172 0.123 10
-0.097 0.149 0.115 13
-0.078 0.121 0.071 7
-0.041 0.084 0.013 10
-0.013 0.023 -0.04 10
-0.018 -0.028 -0.05 10
-0.014 -0.064 -0.002 10
-0.04 -0.057 0.017 10
-0.056 -0.01 0.017 9
-0.057 0.031 0.011 12
-0.031 0.077 -0.052 8
-0.047 0.061 -0.052 10
-0.042 0.055 -0.047 10
-0.044 0.04 -0.025 1
-0.06 0.008 0.032 10
-0.076 -0.016 0.046 10
-0.093 -0.006 0.046 10
-0.075 0.01 0.029 10
